row_id,text_a,location_a,text_b,location_b,human_same (Y/N),notes
r9da0446991,Potential division by zero in utilization method: dividing by self.max_events without guarding against zero.,src/window.py:23-23,Potential division by zero in `utilization` method,src/window.py:23,,
rcc4fd20421,"The Nextcloud service is configured to connect to a PostgreSQL host named `database`, but the PostgreSQL service is named `db`.",,"The Nextcloud service is configured to authenticate with password `secret`, but the PostgreSQL service has password `nextcloud`.",,,
rf19446d8a1,"For n=1, the loop for i in range(1, 1) executes zero times, so the function returns an empty list instead of a single partition containing the whole sequence.",src/partition.py:30-33,"The loop `for i in range(1, n)` iterates one time too few, producing n-1 parts instead of n (the docstring shows `divide(2, ...)` must yield two parts).",src/partition.py:30-30,,
re68edc1a54,Contradictory training description.,Dataset and Training,"The Results section labels 180 of 200 as 75%, but 180/200 is 90%.",Results:16-17,,
r6b299ac357,Docstring incorrectly claims ascending sort and provides examples that do not match the actual behavior.,src/bubble.py:5-11,"The comparison `collection[j] < collection[j + 1]` swaps when the left element is smaller, which sorts in descending order; ascending order needs `>`.",src/bubble.py:16-16,,
r1f7a38cfc6,Bare minus sign input is not rejected; returns 0 instead of raising ValueError.,src/bin2dec.py:15-25,"The final sign is inverted: it returns `decimal_number` for negative inputs and `-decimal_number` otherwise, so positive binary strings come back negative.",src/bin2dec.py:25-25,,
r8add486862,MySQL-specific command flag used with MariaDB image,services.db.command,MySQL-specific command flag used with MariaDB image,services.db.command,,
r43dc994e71,"The description of debt-to-GDP change contradicts the numbers: it says debt rose to 96.8% from 97.4%, but that is a decrease, not an increase.",Relative to the economy,"The description of debt-to-GDP change contradicts the numbers: it says debt rose to 96.8% from 97.4%, but that is a decrease, not an increase.",Relative to the economy,,
r26658dc486,Backend node_modules volume mounted at wrong path,services.backend.volumes,"backend.depends_on names `database`, but no service by that name is defined (the database service is named `db`).",services.backend.depends_on:30-30,,
r8fdb95a048,Docstring examples expect correct results but the algorithmic bugs prevent the function from producing those outputs.,src/binexp.py:7-12,"The odd-bit test uses `exponent & 2` instead of `exponent & 1`, so it inspects the wrong bit and multiplies in the base at the wrong steps.",src/binexp.py:18-18,,
rd34c98f18c,Docstring examples (lines 7–10) show correct Collatz sequences but the code produces different sequences due to errors on lines 17 and 19.,src/collatz.py:7-10,"The input guard uses `n < 0`, so `n == 0` is accepted even though the sequence is only defined for positive integers (0 then loops forever).",src/collatz.py:12-12,,
rb3d3edc527,The claim that life expectancy “more than tripled” from 32 years (1900) to 71 years (2021) is mathematically incorrect.,A long climb,"The rise from 32 years in 1900 to 71 in 2021 is called 'more than tripled', but 71 is about 2.2 times 32 — a bit more than a doubling, not a tripling.",A long climb:4-5,,
r7efc76ee30,"The text is ambiguous about whether the 83 years is remaining life expectancy or total life expectancy, making the example misleading.",Not only about infants:9-12,"French 15-year-olds' life expectancy is said to rise from 58 to 83, 'an increase of 35 years', but 83 - 58 = 25 years.",Not only about infants:11-12,,
rfa4fb0bdaa,The range 'between one half and one-quarter' for the share of deaths in children under five is illogically ordered and likely reversed.,Who dies,The range 'between one half and one-quarter' for the share of deaths in children under five is illogically ordered and likely reversed.,Who dies,,
rfe71b66cf7,"Arithmetic error: the gain from 10% to 90% is 80 percentage points, not 70.",The long reversal,The claimed gain of 70 percentage points is incorrect; from 10% to 90% is 80 percentage points.,The long reversal:8-8,,
re463b034a7,"The subtraction on line 21 is applied incorrectly due to the reversed condition on line 20, causing a negative contribution.",src/roman.py:21-21,"The subtraction on line 21 is applied incorrectly due to the reversed condition on line 20, causing a negative contribution.",src/roman.py:21-21,,
r20c15a888f,Missing database connection details in backend service.,services.backend:5-10,"The backend joins network `springnet`, which is not declared under the top-level `networks` key (only `spring-postgres` exists).",services.backend.networks:9-9,,
r203366cafe,"Database credentials mismatch: The nc service expects POSTGRES_PASSWORD=secret and POSTGRES_DB=cloud, while the db service sets POSTGRES_PASSWORD=nextcloud and POSTGRES_DB=nextcloud.",,"Database credentials mismatch: The nc service expects POSTGRES_PASSWORD=secret and POSTGRES_DB=cloud, while the db service sets POSTGRES_PASSWORD=nextcloud and POSTGRES_DB=nextcloud.",,,
r534430ff70,Environment variable references key 'SPECIAL_MODE' but ConfigMap has keys 'SPECIAL_LEVEL' and 'SPECIAL_TYPE'.,Pod spec.containers[0].env[0].valueFrom.configMapKeyRef.key,Environment variable references key 'SPECIAL_MODE' but ConfigMap has keys 'SPECIAL_LEVEL' and 'SPECIAL_TYPE'.,Pod spec.containers[0].env[0].valueFrom.configMapKeyRef.key,,
r5936e7717f,Declared volume `prom_data` is unused by any service.,,"prometheus mounts the named volume `metrics_data`, which is not declared under the top-level `volumes` key (only `prom_data` exists there).",services.prometheus.volumes:12-12,,
r3ffe8551dd,"Backend is on springnet (undefined) and database on spring-postgres; even if springnet were valid, they would be on separate networks, preventing connectivity.","services.backend.networks, services.db.networks:9-18","The backend joins network `springnet`, which is not declared under the top-level `networks` key (only `spring-postgres` exists).",services.backend.networks:9-9,,
r170467e146,Docstring examples show expected outputs that the buggy code cannot produce.,src/binexp.py:7-12,"The odd-bit test uses `exponent & 2` instead of `exponent & 1`, so it inspects the wrong bit and multiplies in the base at the wrong steps.",src/binexp.py:18-18,,
rdf1b938866,"The function lacks input validation for the documented range 1–3999, leading to unhandled errors and invalid outputs.",src/to_roman.py,"The loop breaks when the remaining number is non-zero (`if number != 0`), so it stops after the first iteration; it should break once the number has been fully converted (`if number == 0`).",src/to_roman.py:34-34,,
r839b8408a7,"Kibana has no environment variable (e.g., ELASTICSEARCH_HOSTS) to configure the Elasticsearch connection.",kibana:37-45,"logstash.depends_on names service `search`, but no such service is defined (the search engine service is named `elasticsearch`).",services.logstash.depends_on:33-33,,
r86da7edb19,"The stated decrease of $41 billion (6%) is arithmetically incompatible: $41 billion from a prior deficit of $1.841 trillion is approximately 2.2%, not 6%, and a 6% decrease would be about $115 billion.",Overview,"The stated decrease of $41 billion (6%) is arithmetically incompatible: $41 billion from a prior deficit of $1.841 trillion is approximately 2.2%, not 6%, and a 6% decrease would be about $115 billion.",Overview,,
r4093be4290,The artifact gives inconsistent life expectancy figures for 2021: 61 years and then 'just over 70 years'.,Longer lives:3-6,"Global 2021 life expectancy (just over 70) is said to be 'more than twice' the value two centuries earlier, given as 'less than 45'; but twice 45 is 90, which exceeds 70, so 70 is not more than twice 45.",Longer lives:6-7,,
rf5c485f076,"The image tag is not pinned (uses implicit `latest`), which can lead to unexpected version changes and reduces reproducibility – a configuration best-practice violation.",Deployment.spec.template.spec.containers[0].image,"The container listens on `containerPort: 8080`, but the Service exposes port 80 with no targetPort (so it routes to pod port 80); the container port and the Service's target port do not match.",Deployment.spec.template.spec.containers.ports:19-19,,
r30e109e012,"Line 22 uses condition x <= a[mid] which is for leftmost insertion, not rightmost, causing infinite loop when x is present.",src/search.py:22-22,"Line 22 uses condition x <= a[mid] which is for leftmost insertion, not rightmost, causing infinite loop when x is present.",src/search.py:22-22,,
