id,finding_a,loc_a,finding_b,loc_b,label,notes
row_0001,"For even numbers the sequence halves by dividing by 3 (`n //= 3`) instead of by 2, breaking the Collatz rule for even n.",src/collatz.py:17,"For odd numbers the step is `3 * n - 1` instead of `3 * n + 1`, using the wrong Collatz update for odd n.",src/collatz.py:19,,
row_0002,"The input guard is `n < 0`, so `n == 0` is accepted despite the raised message ('n must be at least 1') and docstring requiring n >= 1; the correct guard is `n < 1`.",src/partition.py:16,"The remainder is distributed with `i >= r` instead of `i <= r`, so the extra elements are added to the later parts rather than the earlier ones.",src/partition.py:32,,
row_0003,"`range(1, len(collection) - 1)` should be `range(1, len(collection))`; the last element is skipped.",src/insort.py:12,Off-by-one in the outer range drops the last insertion.,src/insort.py:12,,
row_0004,The /refund route's backend `refunds-core` is not defined under `services` (only payments-core and ledger exist).,routes[1].backend:26,"tls.enabled is false while environment is production, violating the constraint that TLS must be enabled in production.",tls.enabled:29,,
row_0005,"The US ~400 billion tonnes is called 'almost one-half' of the ~1,600 billion tonne historical total, but 400 / 1,600 is one-quarter, not one-half.",Who is responsible:8-9,"400 billion is one-quarter of 1,600 billion, not one-half.",Who is responsible:8-9,,
row_0006,"The renewable share of primary energy is given as 'one-seventh — roughly 34%', but one-seventh is about 14%, not 34%.",A small but growing share:4,"The share without renewables is given as 'the remaining two-sevenths', but if one-seventh is renewable the remainder must be six-sevenths, not two-sevenths.",A small but growing share:4-5,,
row_0007,"The proxy targets FLASK_SERVER_ADDR=flask-app:9000, but the flask-app service publishes port 8000, so the proxy points at the wrong port.",services.nginx-proxy.environment:8,"The proxy sends traffic to flask-app:9000, but flask-app is on port 8000.",services.nginx-proxy.environment:8,,
row_0008,"The StatefulSet selector matchLabels is `app: web`, but its pod template labels are `app: nginx`; a StatefulSet's selector must match its template labels.",StatefulSet.spec.selector.matchLabels:24,"The container's volumeMount references volume `data`, but the StatefulSet's volumeClaimTemplate is named `www`; there is no volume `data`.",StatefulSet...containers.volumeMounts:37,,
row_0009,"`divmod(decimal, 8)` should use 16; hexadecimal is base 16.",src/dec2hex.py:26,"Dividing by 8 produces octal-style digits, not hex.",src/dec2hex.py:26,,
row_0010,"The container's volumeMount references volume `pv-storage`, but the Pod defines the volume as `task-pv-storage`.",Pod.spec.containers.volumeMounts:32,"The Pod is in namespace `production`, but the PVC it claims is in namespace `default`; PVCs are namespace-scoped, so a Pod can only bind a PVC in its own namespace.",Pod.metadata.namespace:18,,
row_0011,"For even numbers the sequence halves by dividing by 3 (`n //= 3`) instead of by 2, breaking the Collatz rule for even n.",src/collatz.py:17,"The input guard uses `n < 0`, so `n == 0` is accepted even though the sequence is only defined for positive integers (0 then loops forever).",src/collatz.py:12,,
row_0012,"backend.secrets references `app-secret`, which is not defined under the top-level `secrets` key (only `db-password` exists there).",services.backend.secrets:32,"Undefined secret: `app-secret` should be `db-password`, the only secret defined.",services.backend.secrets:32,,
row_0013,"The top 1% is said to account for 'more than 60%' of spending, but the top 1% is a subset of the top 5%, which accounts for only about half — a subset cannot exceed the group that contains it.",A concentrated cost:11-12,"If the top 5% account for almost half of spending, the other 95% account for the remaining half, but the text says the other 95% account for 'just one-tenth'.",A concentrated cost:10-11,,
row_0014,"DB_USER is `admin`, but the Postgres role created by the db service is `gitea` (POSTGRES_USER=gitea), so the login role does not exist.",services.gitea.environment:8,"DB_NAME is `giteadb`, but the database created by the db service is `gitea` (POSTGRES_DB=gitea), so Gitea targets a database that does not exist.",services.gitea.environment:7,,
row_0015,"One-third is about 33%, so 'about 60%' is wrong.",A small but growing share:6-7,The fraction (one-third) and the percentage (60%) disagree.,A small but growing share:6-7,,
