pair_id,finding_a,loc_a,finding_b,loc_b,label,notes
code-0007-d1~neg~code-0007-d2,"For even numbers the sequence halves by dividing by 3 (`n //= 3`) instead of by 2, breaking the Collatz rule for even n.",src/collatz.py:17,"For odd numbers the step is `3 * n - 1` instead of `3 * n + 1`, using the wrong Collatz update for odd n.",src/collatz.py:19,different,
code-0002-d1~neg~code-0002-d4,"The input guard is `n < 0`, so `n == 0` is accepted despite the raised message ('n must be at least 1') and docstring requiring n >= 1; the correct guard is `n < 1`.",src/partition.py:16,"The remainder is distributed with `i >= r` instead of `i <= r`, so the extra elements are added to the later parts rather than the earlier ones.",src/partition.py:32,different,
code-0015-d2~pos~1-3,"`range(1, len(collection) - 1)` should be `range(1, len(collection))`; the last element is skipped.",src/insort.py:12,Off-by-one in the outer range drops the last insertion.,src/insort.py:12,same,
spec-0001-d3~neg~spec-0001-d4,The /refund route's backend `refunds-core` is not defined under `services` (only payments-core and ledger exist).,routes[1].backend:26,"tls.enabled is false while environment is production, violating the constraint that TLS must be enabled in production.",tls.enabled:29,different,
paper-0009-d2~pos~0-3,"The US ~400 billion tonnes is called 'almost one-half' of the ~1,600 billion tonne historical total, but 400 / 1,600 is one-quarter, not one-half.",Who is responsible:8-9,"400 billion is one-quarter of 1,600 billion, not one-half.",Who is responsible:8-9,same,
paper-0014-d1~neg~paper-0014-d2,"The renewable share of primary energy is given as 'one-seventh — roughly 34%', but one-seventh is about 14%, not 34%.",A small but growing share:4,"The share without renewables is given as 'the remaining two-sevenths', but if one-seventh is renewable the remainder must be six-sevenths, not two-sevenths.",A small but growing share:4-5,different,
spec-0015-d2~pos~0-1,"The proxy targets FLASK_SERVER_ADDR=flask-app:9000, but the flask-app service publishes port 8000, so the proxy points at the wrong port.",services.nginx-proxy.environment:8,"The proxy sends traffic to flask-app:9000, but flask-app is on port 8000.",services.nginx-proxy.environment:8,same,
spec-0018-d2~neg~spec-0018-d3,"The StatefulSet selector matchLabels is `app: web`, but its pod template labels are `app: nginx`; a StatefulSet's selector must match its template labels.",StatefulSet.spec.selector.matchLabels:24,"The container's volumeMount references volume `data`, but the StatefulSet's volumeClaimTemplate is named `www`; there is no volume `data`.",StatefulSet...containers.volumeMounts:37,different,
code-0014-d1~pos~1-2,"`divmod(decimal, 8)` should use 16; hexadecimal is base 16.",src/dec2hex.py:26,"Dividing by 8 produces octal-style digits, not hex.",src/dec2hex.py:26,same,
spec-0012-d2~neg~spec-0012-d3,"The container's volumeMount references volume `pv-storage`, but the Pod defines the volume as `task-pv-storage`.",Pod.spec.containers.volumeMounts:32,"The Pod is in namespace `production`, but the PVC it claims is in namespace `default`; PVCs are namespace-scoped, so a Pod can only bind a PVC in its own namespace.",Pod.metadata.namespace:18,different,
